CS1,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Alpha,Colacovirus,50,6.8,17.9,-12,5.43,20.14,13,27,24.64,7,17.33,3.6,16.32,-9.91,1,8.63,6.71,9.18,1,-5,-5.79,20,-3.23,-10
Alpha,Decacovirus,6.8,25.2,12.12,0.4,12.54,15.66,17,17.27,17.7,14.4,12.27,12.96,12.03,-2.29,4.2,1.52,10.49,2.28,3,-5.8,6.92,9.8,-6.95,-2.4
Alpha,Duvinacovirus,17.9,12.12,48.46,-0.83,12.99,20.39,5.9,27.1,24.02,17.1,41.17,16.68,14.15,-2,-2.9,-0.65,4.57,2.84,15.1,1,12.96,4.9,-0.69,3.1
Alpha,Luchacovirus,-12,0.4,-0.83,27.67,0.71,-2.81,-0.67,-0.56,-0.31,8,-1.33,4.6,-1.81,3.71,0.67,-2.64,4.95,-1.11,3,-10,10.57,-6.67,8.9,7.33
Alpha,Minacovirus,5.43,12.54,12.99,0.71,22.14,11.78,21.57,15.05,18.23,17.29,11.67,17.49,19.3,-0.9,6,4.85,9.27,6.41,7.57,-6.43,13.07,11.43,2.57,0
Alpha,Minunacovirus,20.14,15.66,20.39,-2.81,11.78,32.12,15.14,27.62,27.87,9.14,19.48,18.66,13.73,-9.65,4.86,4.95,10.04,6.59,15.43,-11.57,5.35,12.71,-2.24,0.43
Alpha,Myotacovirus,13,17,5.9,-0.67,21.57,15.14,54,11,18,16,7.33,24.8,29.58,2.09,1,-1.71,6.86,0.21,6,-13,12.87,31,4.08,-3
Alpha,Nyctacovirus,27,17.27,27.1,-0.56,15.05,27.62,11,44.78,36.76,17.67,26.22,12.93,21.35,-4.87,10,11.54,16.48,12.38,16.67,-8.67,6.43,9,0.1,6.33
Alpha,Pedacovirus,24.64,17.7,24.02,-0.31,18.23,27.87,18,36.76,52.14,15.36,23.21,13.74,23.32,-7.24,19,16.74,20.21,17.36,14,-9.36,6.89,15.07,6.27,2.71
Alpha,Rhinacovirus,7,14.4,17.1,8,17.29,9.14,16,17.67,15.36,50,18,23.6,14.05,14.57,9,5.21,13.43,6.29,11,1,23.81,6,7.69,8
Alpha,Setracovirus,17.33,12.27,41.17,-1.33,11.67,19.48,7.33,26.22,23.21,18,42.56,16.93,14,-2.78,-2.67,-1.07,3.38,1.55,15.67,1,12.38,5.33,-0.36,2.67
Alpha,Sunacovirus,3.6,12.96,16.68,4.6,17.49,18.66,24.8,12.93,13.74,23.6,16.93,44.96,11.32,4.51,-1.8,-1.17,4.8,0.11,22.6,-4.6,24.71,9.2,4.72,2.8
